Number of header lines:,36,,,,,,,,,,
Experiment,Xenobot Movement Study,,,,,,,,,,
System Independent Variable,,,,,,,,,,,
Trial name,Trial     1,,,,,,,,,,
Trial ID,0,,,,,,,,,,
Arena name,Arena 1,,,,,,,,,,
Arena ID,0,,,,,,,,,,
Subject name,Mixed Xenobot 3,,,,,,,,,,
Subject ID,2,,,,,,,,,,
Arena settings,Arena Settings 1,,,,,,,,,,
Detection settings,Detection Settings 1,,,,,,,,,,
Trial Control settings,Trial Control Settings 1,,,,,,,,,,
Start time,01/01/2024 00:00:00.000,,,,,,,,,,
Trial duration,+ 00:05:00.000,,,,,,,,,,
Recording after,+ 00:00:00.000,,,,,,,,,,
Recording duration,+ 00:05:00.000,,,,,,,,,,
Track,Track_mixed_xenobot_3.trk,,,,,,,,,,
Tracking source,,,,,,,,,,,
Video file,mixed_xenobot_3.MOV,,,,,,,,,,
Video start time,01/01/2024 00:00:00.000,,,,,,,,,,
Trial status,Acquired,,,,,,,,,,
Acquisition status,Acquired,,,,,,,,,,
Track status,Acquired,,,,,,,,,,
Video file status,External,,,,,,,,,,
Sync status,Not available,,,,,,,,,,
Reference duration,+ 00:05:00.000,,,,,,,,,,
Reference time,01/01/2024 00:00:00.000,,,,,,,,,,
Sof file,,,,,,,,,,,
Missed samples,0.0 %,,,,,,,,,,
Subject not found,0.0 %,,,,,,,,,,
Interpolated samples,0.0 %,,,,,,,,,,
Postprocessor (SIR) calculation result,Tr::eIdrUndefined,,,,,,,,,,
LED pattern,,,,,,,,,,,
,,,,,,,,,,,
Trial time,Recording time,X center,Y center,Area,Areachange,Elongation,Distance moved,Velocity,Heading,Angular velocity,Result 1
s,s,mm,mm,mm²,mm²,,mm,mm/s,deg,deg/s,
0.033,0.0,6.99239,7.17431,0.25,0.01,0.05,0.02,54.195,95,8434.6,1
0.066,0.033,6.96962,7.3473,0.25,0.01,0.05,0.02,71.26,100,6973.9,1
0.099,0.066,6.93185,7.51764,0.25,0.01,0.05,0.02,68.575,105,6978.3,1
0.132,0.099,6.87939,7.68404,0.25,0.01,0.05,0.02,56.111,110,10066.3,1
0.165,0.132,6.81262,7.84524,0.25,0.01,0.05,0.02,62.797,115,11729.6,1
0.198,0.165,6.73205,8.0,0.25,0.01,0.05,0.02,57.874,120,11637.9,1
0.231,0.198,6.6383,8.14715,0.25,0.01,0.05,0.02,70.242,125,10293.4,1
0.264,0.231,6.53209,8.28558,0.25,0.01,0.05,0.02,48.467,130,10784.4,1
0.297,0.264,6.41421,8.41421,0.25,0.01,0.05,0.02,69.618,135,9143.2,1
0.33,0.297,6.28558,8.53209,0.25,0.01,0.05,0.02,52.732,140,7084.8,1
0.363,0.33,6.14715,8.6383,0.25,0.01,0.05,0.02,68.289,145,6523.4,1
0.396,0.363,6.0,8.73205,0.25,0.01,0.05,0.02,61.109,150,7220.5,1
0.429,0.396,5.84524,8.81262,0.25,0.01,0.05,0.02,55.231,155,11862.9,1
0.462,0.429,5.68404,8.87939,0.25,0.01,0.05,0.02,54.639,160,10101.1,1
0.495,0.462,5.51764,8.93185,0.25,0.01,0.05,0.02,66.417,165,7729.4,1
0.528,0.495,5.3473,8.96962,0.25,0.01,0.05,0.02,51.517,170,10633.0,1
0.561,0.528,5.17431,8.99239,0.25,0.01,0.05,0.02,58.887,175,7727.3,1
0.594,0.561,5.0,9.0,0.25,0.01,0.05,0.02,53.079,180,11901.7,1
0.627,0.594,4.82569,8.99239,0.25,0.01,0.05,0.02,63.511,185,9138.4,1
0.66,0.627,4.6527,8.96962,0.25,0.01,0.05,0.02,50.741,190,11474.7,1
0.693,0.66,4.48236,8.93185,0.25,0.01,0.05,0.02,55.987,195,10744.4,1
0.726,0.693,4.31596,8.87939,0.25,0.01,0.05,0.02,69.728,200,7235.1,1
0.759,0.726,4.15476,8.81262,0.25,0.01,0.05,0.02,71.471,205,11365.2,1
0.792,0.759,4.0,8.73205,0.25,0.01,0.05,0.02,61.587,210,10345.9,1
0.825,0.792,3.85285,8.6383,0.25,0.01,0.05,0.02,54.657,215,10342.2,1
0.858,0.825,3.71442,8.53209,0.25,0.01,0.05,0.02,58.347,220,7952.9,1
0.891,0.858,3.58579,8.41421,0.25,0.01,0.05,0.02,64.725,225,8298.8,1
0.924,0.891,3.46791,8.28558,0.25,0.01,0.05,0.02,64.908,230,11109.2,1
0.957,0.924,3.3617,8.14715,0.25,0.01,0.05,0.02,54.5,235,7239.0,1
0.99,0.957,3.26795,8.0,0.25,0.01,0.05,0.02,55.689,240,8542.5,1
1.023,0.99,3.18738,7.84524,0.25,0.01,0.05,0.02,65.482,245,8624.9,1
1.056,1.023,3.12061,7.68404,0.25,0.01,0.05,0.02,64.643,250,11972.3,1
1.089,1.056,3.06815,7.51764,0.25,0.01,0.05,0.02,53.609,255,10550.6,1
1.122,1.089,3.03038,7.3473,0.25,0.01,0.05,0.02,59.443,260,8509.0,1
1.155,1.122,3.00761,7.17431,0.25,0.01,0.05,0.02,62.44,265,6709.0,1
1.188,1.155,3.0,7.0,0.25,0.01,0.05,0.02,55.569,270,7643.7,1
1.221,1.188,3.00761,6.82569,0.25,0.01,0.05,0.02,62.65,275,7349.9,1
1.254,1.221,3.03038,6.6527,0.25,0.01,0.05,0.02,49.137,280,6243.9,1
1.287,1.254,3.06815,6.48236,0.25,0.01,0.05,0.02,66.589,285,10102.9,1
1.32,1.287,3.12061,6.31596,0.25,0.01,0.05,0.02,68.389,290,10063.1,1
1.353,1.32,3.18738,6.15476,0.25,0.01,0.05,0.02,49.254,295,10206.8,1
1.386,1.353,3.26795,6.0,0.25,0.01,0.05,0.02,61.128,300,11770.8,1
1.419,1.386,3.3617,5.85285,0.25,0.01,0.05,0.02,53.515,305,6466.9,1
1.452,1.419,3.46791,5.71442,0.25,0.01,0.05,0.02,67.989,310,8536.1,1
1.485,1.452,3.58579,5.58579,0.25,0.01,0.05,0.02,59.279,315,10301.7,1
1.518,1.485,3.71442,5.46791,0.25,0.01,0.05,0.02,52.39,320,8706.2,1
1.551,1.518,3.85285,5.3617,0.25,0.01,0.05,0.02,67.256,325,9564.5,1
1.584,1.551,4.0,5.26795,0.25,0.01,0.05,0.02,69.676,330,11192.3,1
1.617,1.584,4.15476,5.18738,0.25,0.01,0.05,0.02,54.564,335,10774.6,1
1.65,1.617,4.31596,5.12061,0.25,0.01,0.05,0.02,63.267,340,6726.5,1
1.683,1.65,4.48236,5.06815,0.25,0.01,0.05,0.02,54.327,345,10522.7,1
1.716,1.683,4.6527,5.03038,0.25,0.01,0.05,0.02,68.303,350,6930.7,1
1.749,1.716,4.82569,5.00761,0.25,0.01,0.05,0.02,64.898,355,7955.4,1
1.782,1.749,5.0,5.0,0.25,0.01,0.05,0.02,52.404,0,6591.4,1
1.815,1.782,5.17431,5.00761,0.25,0.01,0.05,0.02,50.37,5,8777.8,1
1.848,1.815,5.3473,5.03038,0.25,0.01,0.05,0.02,50.787,10,9636.0,1
1.881,1.848,5.51764,5.06815,0.25,0.01,0.05,0.02,67.802,15,8535.1,1
1.914,1.881,5.68404,5.12061,0.25,0.01,0.05,0.02,62.872,20,11017.9,1
1.947,1.914,5.84524,5.18738,0.25,0.01,0.05,0.02,67.778,25,7881.2,1
1.98,1.947,6.0,5.26795,0.25,0.01,0.05,0.02,61.578,30,8850.4,1
2.013,1.98,6.14715,5.3617,0.25,0.01,0.05,0.02,50.877,35,7198.6,1
2.046,2.013,6.28558,5.46791,0.25,0.01,0.05,0.02,50.024,40,7333.5,1
2.079,2.046,6.41421,5.58579,0.25,0.01,0.05,0.02,70.989,45,11441.6,1
2.112,2.079,6.53209,5.71442,0.25,0.01,0.05,0.02,67.761,50,11078.9,1
2.145,2.112,6.6383,5.85285,0.25,0.01,0.05,0.02,70.067,55,7129.0,1
2.178,2.145,6.73205,6.0,0.25,0.01,0.05,0.02,61.933,60,8259.2,1
2.211,2.178,6.81262,6.15476,0.25,0.01,0.05,0.02,52.621,65,6820.9,1
2.244,2.211,6.87939,6.31596,0.25,0.01,0.05,0.02,68.843,70,9830.0,1
2.277,2.244,6.93185,6.48236,0.25,0.01,0.05,0.02,64.997,75,11346.2,1
2.31,2.277,6.96962,6.6527,0.25,0.01,0.05,0.02,52.527,80,11957.9,1
2.343,2.31,6.99239,6.82569,0.25,0.01,0.05,0.02,59.791,85,8064.1,1
2.376,2.343,7.0,7.0,0.25,0.01,0.05,0.02,70.498,90,7563.7,1
2.409,2.376,6.99239,7.17431,0.25,0.01,0.05,0.02,68.624,95,6972.6,1
2.442,2.409,6.96962,7.3473,0.25,0.01,0.05,0.02,62.412,100,9722.3,1
2.475,2.442,6.93185,7.51764,0.25,0.01,0.05,0.02,55.98,105,9666.2,1
2.508,2.475,6.87939,7.68404,0.25,0.01,0.05,0.02,70.563,110,8240.4,1
2.541,2.508,6.81262,7.84524,0.25,0.01,0.05,0.02,50.862,115,8746.9,1
2.574,2.541,6.73205,8.0,0.25,0.01,0.05,0.02,50.457,120,9949.2,1
2.607,2.574,6.6383,8.14715,0.25,0.01,0.05,0.02,65.75,125,6212.4,1
2.64,2.607,6.53209,8.28558,0.25,0.01,0.05,0.02,67.94,130,10113.4,1
2.673,2.64,6.41421,8.41421,0.25,0.01,0.05,0.02,58.703,135,6034.7,1
2.706,2.673,6.28558,8.53209,0.25,0.01,0.05,0.02,52.288,140,8731.6,1
2.739,2.706,6.14715,8.6383,0.25,0.01,0.05,0.02,67.502,145,6273.8,1
2.772,2.739,6.0,8.73205,0.25,0.01,0.05,0.02,64.729,150,6103.4,1
2.805,2.772,5.84524,8.81262,0.25,0.01,0.05,0.02,60.765,155,7706.2,1
2.838,2.805,5.68404,8.87939,0.25,0.01,0.05,0.02,66.707,160,6927.3,1
2.871,2.838,5.51764,8.93185,0.25,0.01,0.05,0.02,68.401,165,10546.0,1
2.904,2.871,5.3473,8.96962,0.25,0.01,0.05,0.02,71.419,170,9280.7,1
2.937,2.904,5.17431,8.99239,0.25,0.01,0.05,0.02,53.292,175,10456.8,1
2.97,2.937,5.0,9.0,0.25,0.01,0.05,0.02,60.86,180,6130.3,1
3.003,2.97,4.82569,8.99239,0.25,0.01,0.05,0.02,52.341,185,7438.2,1
3.036,3.003,4.6527,8.96962,0.25,0.01,0.05,0.02,64.591,190,11359.1,1
3.069,3.036,4.48236,8.93185,0.25,0.01,0.05,0.02,52.007,195,8707.6,1
3.102,3.069,4.31596,8.87939,0.25,0.01,0.05,0.02,63.147,200,11040.0,1
3.135,3.102,4.15476,8.81262,0.25,0.01,0.05,0.02,69.032,205,8810.4,1
3.168,3.135,4.0,8.73205,0.25,0.01,0.05,0.02,52.142,210,7173.1,1
3.201,3.168,3.85285,8.6383,0.25,0.01,0.05,0.02,63.388,215,9021.6,1
3.234,3.201,3.71442,8.53209,0.25,0.01,0.05,0.02,49.471,220,11714.8,1
3.267,3.234,3.58579,8.41421,0.25,0.01,0.05,0.02,63.842,225,10872.2,1
3.3,3.267,3.46791,8.28558,0.25,0.01,0.05,0.02,56.978,230,8888.8,1
3.333,3.3,3.3617,8.14715,0.25,0.01,0.05,0.02,56.296,235,7152.2,1
3.366,3.333,3.26795,8.0,0.25,0.01,0.05,0.02,70.002,240,11214.1,1
3.399,3.366,3.18738,7.84524,0.25,0.01,0.05,0.02,61.501,245,8048.8,1
3.432,3.399,3.12061,7.68404,0.25,0.01,0.05,0.02,55.003,250,6785.8,1
3.465,3.432,3.06815,7.51764,0.25,0.01,0.05,0.02,64.865,255,6268.1,1
3.498,3.465,3.03038,7.3473,0.25,0.01,0.05,0.02,62.524,260,10510.5,1
3.531,3.498,3.00761,7.17431,0.25,0.01,0.05,0.02,48.132,265,9752.2,1
3.564,3.531,3.0,7.0,0.25,0.01,0.05,0.02,63.1,270,6523.7,1
3.597,3.564,3.00761,6.82569,0.25,0.01,0.05,0.02,65.387,275,7256.2,1
3.63,3.597,3.03038,6.6527,0.25,0.01,0.05,0.02,58.685,280,7599.8,1
3.663,3.63,3.06815,6.48236,0.25,0.01,0.05,0.02,50.582,285,10724.4,1
3.696,3.663,3.12061,6.31596,0.25,0.01,0.05,0.02,64.164,290,10769.6,1
3.729,3.696,3.18738,6.15476,0.25,0.01,0.05,0.02,58.81,295,7656.9,1
3.762,3.729,3.26795,6.0,0.25,0.01,0.05,0.02,64.549,300,8147.8,1
